B02200067
eye,眼睛
member,成員
control,控制
problem,問題
car,車
police,警察
full,充滿
road,馬路
law,法律
today,今天
name,名字
mother,媽媽
past,過去
education,教育
office,辦公室

Betty:
industrial,工業的
europe,歐洲
further,更遠的
committee,委員會
staff,職員
approach,接近
decade,十年
domain,領土
photocopier,影印機
supervision,管理
preserve,保存
brilliant,傑出的
overseas,國外來的
absolute,絕對的
hostile,敵方的

Peggy:
revenue,收益
accomplishment,成就
authentic,可信的
unique,獨特
encourage,勸阻
apologize,抱歉
remove,移除
honor,榮耀
treasurer,保障
professional,專業人才
enthusiastic,熱心
surgery,手術
incorporate,合併
exclusively,專門的
vulnerable,脆弱的

B02202201:
alternate,交替的
fad,時尚的
fed up with,厭煩的...
go overboard,太超過
loaded,with,滿載
portion,部分
struggle,奮鬥
veteran,老手
dierter,節食者
cabbage,白菜
pasta,麵食
cracker,餅乾
oatmeal,燕麥
wheat,麥
flake,片狀

IVY:
roughly,大致上 粗略地
encircle,環繞 包圍
spark,點燃
suspend,中止 暫停
sunblock,防曬油
temporary,暫時的
fountain,噴水池
refreshing,提神的
impact, 影響
opponent,對手
advance,促進 提升.....的程度
experiment,實驗
massive,巨大的
cocktail,雞尾酒
lecture,授課

Emily1:
shortcut,捷徑
passageway,通道
capital,首都
gateway,通道
category,類別
rarely,很少
district,地區
stand,攤位
fence,欄杆
chain,連鎖商店
diverse,不同的
suburb,近郊
native,本地人
gourmet,美食
savor,品味

B02200088:
basic,基本的
eager,渴望
assume,假設
range,範圍
studio,工作室
coach,教練
role,角色
blind,盲的
sight,視力
album,專輯
release,發行
campus,校園
theory,理論
resource,資源
retail,零售

May:
float,漂浮
coast,海岸
cloak,斗蓬
soak,浸泡
approach,接近
roast,烤
toast,吐司
foam,泡沫
throat,喉嚨
oath,誓言
coal,煤
ego,自我
poke,戳
quote,引用
sole,唯一
